name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Tongue Tied,0GO8y8jQk1PkHzS31d699N,81,2011-09-02,hit,218.01334,-5.835,112.96,0.9309999999999999,4,0.985,3,0.428,1,0.541,0.00847,0.56,0.9359999999999999,0.0,0.161,0.0439,0.371
Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,83,2011-05-23,hit,239.6,-5.849,127.975,0.958,4,1.0,5,0.35100000000000003,0,0.516,0.145,0.733,0.71,0.115,0.0956,0.0292,0.965
Work Out,2wAJTrFhCnQyNSD3oUgTZO,79,2011-09-27,hit,235.32,-6.903,93.00399999999999,0.611,4,1.0,2,0.22899999999999998,1,0.42,0.0531,0.831,0.42700000000000005,0.0,0.307,0.106,0.21600000000000003
Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,75,2011-01-01,hit,244.97332999999998,-7.0360000000000005,129.062,0.884,4,1.0,0,0.738,1,0.991,0.591,0.8640000000000001,0.495,0.000133,0.0992,0.037000000000000005,0.72
Someone Like You,4kflIGfjdZJW4ot2ioixTB,78,2011-01-19,hit,285.04,-8.251,135.109,0.25,4,0.7490000000000001,9,0.35200000000000004,1,0.525,0.892,0.5589999999999999,0.33,0.0,0.0975,0.0285,0.285
Springsteen,05ZACkzW8YbRq3eFgIfSNB,74,2011-01-01,hit,263.38666,-5.935,104.023,0.305,4,0.961,2,0.701,1,0.7709999999999999,0.1,0.6920000000000001,0.809,9.77e-05,0.185,0.0255,0.927
Midnight City,1eyzqe2QqGZUmfcPZtrIyt,73,2011,hit,241.44,-6.525,105.009,0.821,4,1.0,11,0.5720000000000001,0,0.609,0.0161,0.526,0.7120000000000001,0.0,0.179,0.0356,0.32
Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz,77,2011-11-11,hit,210.96,-3.293,89.99,0.223,4,1.0,9,0.065,1,0.249,0.0319,0.6459999999999999,0.795,0.0,0.267,0.0976,0.7959999999999999
A Thousand Years,6lanRgr6wXibZr8KgzXxBl,79,2011-10-18,hit,285.12,-7.445,139.028,0.395,3,1.0,10,0.5660000000000001,1,0.607,0.309,0.42100000000000004,0.40700000000000003,0.0009609999999999999,0.11,0.0267,0.161
Marvins Room,047fCsbO4NdmwCBn8pcUXl,74,2011-11-15,hit,347.22668,-17.340999999999998,111.51899999999999,0.02,5,0.732,9,0.37200000000000005,0,0.47600000000000003,0.6459999999999999,0.49200000000000005,0.26,0.0017800000000000001,0.0705,0.0921,0.312
Tonight Tonight,2i0AUcEnsDm3dsqLrFWUCq,74,2011-11-25,hit,200.46667,-4.977,99.978,0.379,4,1.0,4,0.644,1,0.45799999999999996,0.0764,0.6859999999999999,0.7829999999999999,0.0,0.163,0.11900000000000001,0.8140000000000001
Barefoot Blue Jean Night,3ts6xK5GzfMAAriT9AIBmP,72,2011-08-26,hit,167.42667,-4.678999999999999,172.016,0.41200000000000003,4,0.987,4,0.835,1,0.42200000000000004,0.20800000000000002,0.6,0.8079999999999999,0.0,0.196,0.0403,0.809
Country Girl (Shake It For Me),0yD66650JxhqKbW76C2qCo,72,2011-08-09,hit,225.56,-4.532,105.97,0.909,4,0.92,2,0.523,1,0.556,0.0293,0.645,0.904,0.0,0.0834,0.0462,0.6709999999999999
Wanted,0p1BcEcYVO3uk4KDf3gzkY,71,2011,hit,228.84,-7.692,169.78400000000002,0.135,4,0.93,0,0.787,1,0.7290000000000001,0.268,0.42100000000000004,0.47600000000000003,0.0,0.0816,0.0298,0.3
Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,78,2011-08-08,hit,219.33333,-5.542000000000001,140.02700000000002,0.293,4,1.0,1,0.529,1,0.5820000000000001,0.127,0.7879999999999999,0.8590000000000001,0.0,0.348,0.315,0.769
Diamond In My Pocket,24Nt4OalWDICkEKVy81X6k,70,2011-10-31,hit,196.90668,-3.51,151.914,0.34299999999999997,4,0.555,7,0.7090000000000001,1,0.6990000000000001,0.27,0.546,0.838,1.24e-05,0.0841,0.0319,0.7190000000000001
Drink In My Hand,1cktZnxiONH0hR6Q3DKy8h,71,2011-01-01,hit,191.30667,-4.452,113.044,0.9,4,0.997,0,0.6709999999999999,1,0.5539999999999999,0.00635,0.626,0.9129999999999999,0.0,0.293,0.0318,0.946
The Motto,4Kz4RdRCceaA9VgTqBhBfa,72,2011-11-15,hit,181.57333,-8.558,201.8,0.591,4,0.071,1,0.956,1,0.807,0.00010700000000000001,0.7659999999999999,0.442,6.12e-05,0.111,0.35600000000000004,0.39
