name,id,popularity,release_date,hit_miss
Classic,6FE2iI43OZnszFLuLtvvmg,78,2012,hit
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,82,2012-12-07,hit
Lost,3GZD6HmiNUhxXYf8Gch723,73,2012-07-10,hit
Demons,3LlAyCYU26dvFZBDUIMb7a,73,2012-09-04,hit
Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,73,2012-07-10,hit
We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,73,2012-02-21,hit
Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,82,2012-10-09,hit
Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,76,2012-01-01,hit
Cruise,0i5el041vd6nxrGEU8QRxy,72,2012-01-01,hit
Radioactive,4G8gkOterJn0Ywt6uhqbhp,72,2012-09-04,hit
Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,72,2012-09-18,hit
Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,79,2012-12-07,hit
Hard To Love,6E9V9TRlVOLjenGjHemzEH,71,2012-04-24,hit
Love Sosa,4IowQDUOzUvNtp72HMDcKO,71,2012-01-01,hit
Ho Hey,0W4Kpfp1w2xkY3PrV714B7,70,2012-04-03,hit
Payphone,1LmN9SSHISbtp9LoaR5ZVJ,72,2012-01-01,hit
Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,80,2012-09-18,hit
Freaking Out the Neighborhood,25SJaCCPiosugnlY53VhRG,74,2012-10-16,hit
Money Trees,2HbKqm4o0w5wEeEFXm2sD4,70,2012,hit
Some Nights,6t6oULCRS6hnI7rm0h5gwl,71,2012-02-21,hit
Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,71,2012-10-26,hit
Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,77,2012,hit
Hall of Fame,1X1DWw2pcNZ8zSub3uhlNz,69,2012-09-10,miss
What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,80,2012-05-25,hit
Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,75,2012-01-01,hit
Die Young,7EQGXaVSyEDsCWKmUcfpLk,76,2012-11-30,hit
They Don't Know About Us,72C7aUQECOhNtnD0AC36ua,78,2012-11-09,hit
My Kind of Woman,2OFrAsP5Vrcb0DtsPNsm54,73,2012-10-16,hit
Little Talks,2ihCaVdNZmnHZWt0fvAM7B,77,2012-01-01,hit
Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,68,2012,miss
It's Time,6BtmXhTJMM9sBTHeYYASGz,68,2012-09-04,miss
I Will Wait,0hm8rgOY17z7kQJlqGKbu7,69,2012-09-25,miss
Somethin' 'Bout A Truck,6Ymvlzom4TQeoKqAWsZRD8,69,2012-01-01,miss
I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,72,2012-04-13,hit
Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,69,2012-01-01,miss
Ayy Ladies (feat. Tyga),4P6BuLsqtg5uISdE77ypI9,71,2012-05-28,hit
Glad You Came,3AGOgQzp0YcPH41u9p7dOp,69,2012-01-01,miss
Oblivion,4P6n0udLAnmCNXVcobYbsK,67,2012-02-21,miss
Clarity,60wwxj6Dd9NJlirf84wr2c,74,2012-01-01,hit
Wicked Games,6VwBbL8CzPiC4QV66ay7oR,73,2012-01-01,hit
Girl on Fire,4esOae7i4rqTbAu9o5Pxco,76,2012-11-18,hit
Night Train,5ytc87gcx6dZ4nWRNykinV,67,2012-10-16,miss
Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),5PX4uS1LqlWEPL69phPVQQ,75,2012-01-01,hit
Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,76,2012-06-22,hit
Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,76,2012-10-29,hit
Treasure,55h7vJchibLdUkxdlX3fK7,76,2012-12-07,hit
Mercy,4qikXelSRKvoCqFcHLB2H2,70,2012-01-01,hit
Little Things,7kSLdGdXLey7pzLsWpdg1h,77,2012-11-09,hit
Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,67,2012-07-10,miss
Drive By,0KAiuUOrLTIkzkpfpn9jb9,74,2012-04-17,hit
