,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
0,175.42667,-4.689,102.071,0.261,4,1.0,1,0.343,1,0.58
1,213.82668,-8.648,72.795,0.072,4,0.558,0,0.516,1,0.644
2,234.09332,-4.892,123.061,0.914,4,1.0,8,0.0,1,0.322
3,175.2,-3.015,89.938,0.074,4,1.0,3,0.461,1,0.564
4,200.74667,-11.195,129.83,0.688,4,1.0,0,0.627,1,0.64
5,250.62666,-5.576,184.086,0.263,4,0.661,10,0.489,1,0.421
6,258.3428,-4.457,146.078,0.614,4,0.985,2,0.414,1,0.481
7,177.28,-3.906,154.961,0.312,4,0.954,8,0.313,1,0.445
8,208.96,-3.364,148.0,0.506,4,0.782,10,0.515,1,0.545
9,186.81332,-3.686,136.245,0.683,4,1.0,9,0.496,1,0.546
10,227.08,-7.298,150.071,0.088,4,0.903,5,0.055,1,0.24
11,233.47823,-4.165,143.994,0.776,4,0.976,5,0.602,1,0.319
12,224.29333,-6.177,103.017,0.024,4,0.926,9,0.602,1,0.546
13,246.21333,-8.193,131.965,0.476,4,0.936,0,0.0,0,0.0
14,163.13333,-9.074,79.936,0.158,4,0.99,0,0.466,1,0.544
15,231.38667,-4.828,110.028,0.762,4,0.963,4,0.538,1,0.454
16,242.73334,-7.273,95.002,0.475,4,1.0,2,0.538,1,0.627
17,173.88893,-5.751,143.302,0.868,4,1.0,8,0.408,0,0.329
18,386.90668,-7.355,71.994,0.025,4,0.91,7,0.345,1,0.445
19,277.04,-7.045,107.938,0.796,4,0.801,0,0.701,1,0.688
20,230.69333,-2.459,79.745,0.222,4,1.0,11,0.451,1,0.468
21,204.16,-4.087,129.992,0.951,4,1.0,11,0.493,1,0.495
22,202.53333,-4.343,84.803,0.332,4,0.992,10,0.464,1,0.486
23,199.98666,-2.494,124.99,0.714,4,1.0,4,0.526,1,0.429
